urn,local_authority,school,postcode,easting,northing,lsoa,type,phase,no2_avg_2013,above_40_2013,no2_avg_2016,above_40_2016
100000,City of London,Sir John Cass's Foundation Primary School,EC3A 5DE,533498,181201,E01032739,Voluntary aided school,Primary,63.1,Yes,57.5,Yes
100001,City of London,City of London School for Girls,EC2Y 8BB,532301,181746,E01000002,Other independent school,Not applicable,44.1,Yes,46,Yes
100002,City of London,St Paul's Cathedral School,EC4M 9AD,532160,181151,E01032739,Other independent school,Not applicable,60.9,Yes,54.8,Yes
100003,City of London,City of London School,EC4V 3AL,531981,180844,E01032739,Other independent school,Not applicable,62.7,Yes,57.4,Yes
100005,Camden,Thomas Coram Centre,WC1N 2NY,530464,182403,E01000937,Local authority nursery school,Nursery,44.7,Yes,46,Yes
100006,Camden,CCfL Key Stage 4 PRU,NW3 2NY,527663,185479,E01000887,Pupil referral unit,Not applicable,45.6,Yes,44.1,Yes
100007,Camden,Camden Primary Pupil Referral Unit,NW1 3EX,529082,182617,E01000945,Pupil referral unit,Not applicable,47.6,Yes,46.4,Yes
100008,Camden,Argyle Primary School,WC1H 9EG,530238,182761,E01000941,Community school,Primary,59.1,Yes,52.2,Yes
100009,Camden,Beckford Primary School,NW6 1QL,524888,185067,E01000873,Community school,Primary,39.6,No,39.9,No
100010,Camden,Brecknock Primary School,NW1 9AL,529912,184835,E01000869,Community school,Primary,44.0,Yes,43.8,Yes
100011,Camden,Brookfield Primary School,N19 5DH,528706,186594,E01000908,Community school,Primary,35.5,No,37.2,No
100012,Camden,Carlton Primary School,NW5 4AX,528386,185209,E01000891,Community school,Primary,38.7,No,39.8,No
100013,Camden,Edith Neville Primary School,NW1 1DN,529725,183195,E01000953,Community school,Primary,41.9,Yes,43.2,Yes
100014,Camden,Fleet Primary School,NW3 2QT,527677,185424,E01000887,Community school,Primary,47.1,Yes,44.9,Yes
100015,Camden,Hawley Primary School,NW1 8RP,528886,184273,E01000856,Community school,Primary,50.7,Yes,47.2,Yes
100018,Camden,Netley Primary School & Centre for Autism,NW1 3EX,529095,182598,E01000945,Community school,Primary,49.2,Yes,47.2,Yes
100019,Camden,New End Primary School,NW3 1HU,526483,185916,E01000895,Community school,Primary,38.9,No,39.8,No
100020,Camden,Primrose Hill School,NW1 8JL,528304,183909,E01000862,Community school,Primary,39.4,No,41.4,Yes
100021,Camden,Rhyl Primary School,NW5 3HB,528334,184823,E01000900,Community school,Primary,42.8,Yes,42.7,Yes
100022,Camden,Richard Cobden Primary School,NW1 0LL,529342,183487,E01000959,Community school,Primary,51.3,Yes,48.8,Yes
100023,Camden,Torriano Primary School,NW5 2SJ,529559,185072,E01000926,Community school,Primary,41.1,Yes,41.8,Yes
100025,Camden,Gospel Oak Primary School,NW3 2JB,528230,185638,E01000886,Community school,Primary,42.0,Yes,41.2,Yes
100026,Camden,Fitzjohn's Primary School,NW3 6NP,526566,185411,E01000897,Community school,Primary,43.3,Yes,42.5,Yes
100027,Camden,Eleanor Palmer Primary School,NW5 2JA,529117,185613,E01000921,Community school,Primary,42.0,Yes,42,Yes
100028,Camden,"Christ Church Primary School, Hampstead",NW3 1JH,526518,186095,E01000899,Voluntary aided school,Primary,38.7,No,39.4,No
100029,Camden,Christ Church School,NW1 4BD,528821,182991,E01000949,Voluntary aided school,Primary,44.7,Yes,44.6,Yes
100030,Camden,Emmanuel Church of England Primary School,NW6 1TF,525336,185264,E01000970,Voluntary aided school,Primary,40.8,Yes,40.8,Yes
100031,Camden,Hampstead Parochial Church of England Primary School,NW3 6TX,526301,185733,E01000879,Voluntary aided school,Primary,41.9,Yes,41.7,Yes
100032,Camden,"Holy Trinity CofE Primary School, NW3",NW3 5SQ,526445,184601,E01000883,Voluntary aided school,Primary,53.2,Yes,47.3,Yes
100033,Camden,"Holy Trinity and Saint Silas CofE Primary School, NW1",NW1 8DE,528675,184432,E01000856,Voluntary aided school,Primary,40.9,Yes,41.4,Yes
100034,Camden,Kentish Town Church of England Primary School,NW5 2TU,529113,185066,E01000921,Voluntary aided school,Primary,45.3,Yes,44.3,Yes
100035,Camden,Rosary Roman Catholic Primary School,NW3 2AE,527199,185281,E01000898,Voluntary aided school,Primary,44.5,Yes,43.2,Yes
100036,Camden,St Alban's Church of England Primary School,EC1N 7SD,531156,181834,E01000917,Voluntary aided school,Primary,51.0,Yes,48.4,Yes
100039,Camden,St Dominic's Catholic Primary School,NW5 4JS,527842,185252,E01000892,Voluntary aided school,Primary,45.9,Yes,44.2,Yes
100040,Camden,St George the Martyr Church of England Primary School,WC1N 2NX,530763,182065,E01000920,Voluntary aided school,Primary,46.8,Yes,46.5,Yes
100041,Camden,St Josephs Catholic Primary School,WC2B 5NA,530415,181368,E01000918,Voluntary aided school,Primary,58.6,Yes,53.9,Yes
100042,Camden,St Mary's Kilburn Church of England Primary School,NW6 4PG,525389,183932,E01000933,Voluntary aided school,Primary,41.8,Yes,41.7,Yes
100043,Camden,St Mary and St Pancras Church of England Primary School,NW1 1QP,529495,183146,E01000954,Voluntary aided school,Primary,44.6,Yes,46.7,Yes
100044,Camden,St Michael's Church of England Primary School,NW1 0JA,529204,183886,E01000861,Voluntary aided school,Primary,47.9,Yes,46.6,Yes
100045,Camden,St Patrick's Catholic Primary School,NW5 3AH,528861,185010,E01000922,Voluntary aided school,Primary,41.6,Yes,41.8,Yes
100046,Camden,St Paul's Church of England Primary School,NW3 3DS,527498,184129,E01000967,Voluntary aided school,Primary,41.3,Yes,42,Yes
100047,Camden,St Eugene de Mazenod Roman Catholic Primary School,NW6 4LS,525360,183998,E01000933,Voluntary aided school,Primary,41.4,Yes,41.5,Yes
100048,Camden,Our Lady Roman Catholic Primary School,NW1 0DP,529268,183862,E01000861,Voluntary aided school,Primary,47.7,Yes,46.6,Yes
100049,Camden,Haverstock School,NW3 2BQ,528159,184498,E01000902,Community school,Secondary,44.9,Yes,44.2,Yes
100050,Camden,Parliament Hill School,NW5 1RL,528369,186019,E01000912,Community school,Secondary,39.8,No,40.5,Yes
100051,Camden,Regent High School,NW1 1RX,529555,183356,E01000952,Community school,Secondary,45.8,Yes,45.8,Yes
100052,Camden,Hampstead School,NW2 3RT,524402,185633,E01000871,Community school,Secondary,34.7,No,36.8,No
100053,Camden,Acland Burghley School,NW5 1UJ,528962,185931,E01000928,Community school,Secondary,40.8,Yes,40.3,Yes
100054,Camden,The Camden School for Girls,NW5 2DB,529441,184659,E01000865,Voluntary aided school,Secondary,44.8,Yes,43.7,Yes
100055,Camden,Maria Fidelis Catholic School FCJ,NW1 1LY,529642,182873,E01000955,Voluntary aided school,Secondary,45.4,Yes,46.7,Yes
100056,Camden,William Ellis School,NW5 1RN,528267,186049,E01000912,Voluntary aided school,Secondary,36.6,No,38.4,No
100059,Camden,La Sainte Union Catholic Secondary School,NW5 1RP,528379,186191,E01000910,Voluntary aided school,Secondary,39.9,No,40.6,Yes
100060,Camden,Children's Hospital School at Gt Ormond Street and UCH,WC1N 3JH,530533,182041,E01000915,Foundation special school,Not applicable,45.6,Yes,46.5,Yes
100061,Camden,St Christopher's School,NW3 5AE,526978,185153,E01000897,Other independent school,Not applicable,40.9,Yes,41,Yes
100062,Camden,St Margaret's School,NW3 7SR,525551,185876,E01000884,Other independent school,Not applicable,35.5,No,37.4,No
100063,Camden,Sarum Hall School,NW3 3EL,527291,184479,E01000845,Other independent school,Not applicable,38.6,No,40.3,Yes
100064,Camden,The Hall School,NW3 4NU,526932,184533,E01000844,Other independent school,Not applicable,39.9,No,40.9,Yes
100065,Camden,University College School,NW3 6XH,526202,185414,E01000879,Other independent school,Not applicable,36.7,No,38.4,No
100066,Camden,The Cavendish School,NW1 7HB,528739,183866,E01000863,Other independent school,Not applicable,44.4,Yes,44.2,Yes
100067,Camden,St Mary's School,NW3 6PG,526543,185092,E01000881,Other independent school,Not applicable,42.8,Yes,42.1,Yes
100068,Camden,North Bridge House Pre-Prep School,NW3 5RR,526368,184811,E01000883,Other independent school,Not applicable,46.5,Yes,44.2,Yes
100069,Camden,Hereward House School,NW3 4NY,527001,184495,E01000844,Other independent school,Not applicable,38.6,No,40.1,Yes
100070,Camden,St Anthony's Preparatory School,NW3 6NP,526536,185454,E01000897,Other independent school,Not applicable,43.2,Yes,42.6,Yes
100071,Camden,North Bridge Nursery School,NW3 5JY,526549,184913,E01000883,Other independent school,Not applicable,42.7,Yes,42.5,Yes
100072,Camden,Lyndhurst House Preparatory School,NW3 5NW,526875,185297,E01000897,Other independent school,Not applicable,38.6,No,39.4,No
100073,Camden,Hampstead Hill School,NW3 2PP,527085,185400,E01000898,Other independent school,Not applicable,42.9,Yes,42,Yes
100074,Camden,North Bridge House Senior School,NW3 5UD,526640,185531,E01000894,Other independent school,Not applicable,40.7,Yes,41,Yes
100075,Camden,Trevor-Roberts School,NW3 3ET,526981,184414,E01000844,Other independent school,Not applicable,39.1,No,40.4,Yes
100076,Camden,South Hampstead High School,NW3 5SS,526491,184607,E01000883,Other independent school,Not applicable,53.1,Yes,47.5,Yes
100077,Camden,The Village School,NW3 2YN,527781,184808,E01000903,Other independent school,Not applicable,41.4,Yes,41.8,Yes
100078,Camden,Heathside Preparatory School,NW3 1JA,526506,185985,E01000899,Other independent school,Not applicable,37.9,No,39.2,No
100080,Camden,Devonshire House Preparatory School,NW3 6AE,526456,185413,E01000879,Other independent school,Not applicable,43.7,Yes,42.8,Yes
100081,Camden,Broadhurst School,NW6 3LP,526211,184422,E01000962,Other independent school,Not applicable,38.5,No,39.6,No
100082,Camden,College Francais Bilingue De Londres,NW5 3AX,528672,184981,E01000922,Other independent school,Not applicable,39.1,No,40.2,Yes
100084,Camden,Fine Arts College,NW3 4YD,527535,184578,E01000845,Other independent school,Not applicable,41.6,Yes,42.2,Yes
100087,Camden,The Mulberry House School,NW2 3SD,524389,185149,E01000872,Other independent school,Not applicable,43.2,Yes,41.4,Yes
100090,Camden,Southbank International School,NW3 5TH,526368,184950,E01000881,Other independent school,Not applicable,41.6,Yes,40.5,Yes
100091,Camden,Frank Barnes School for Deaf Children,N1C 4BT,530000,183795,E01000953,Community special school,Not applicable,39.9,No,41.4,Yes
100092,Camden,Camden Centre for Learning (CCfL) Special School,NW1 8DP,528612,184451,E01000904,Community special school,Not applicable,40.4,Yes,41.1,Yes
100094,Camden,Royal Free Hospital Children's School,NW3 2QG,527297,185410,E01000898,Community special school,Not applicable,44.6,Yes,43.2,Yes
100096,Camden,Swiss Cottage School - Development & Research Centre,NW8 6HX,526914,184029,E01000963,Community special school,Not applicable,44.3,Yes,43.4,Yes
100097,Greenwich,Rachel McMillan Nursery School and Children's Centre,SE8 3EH,537362,177674,E01033727,Local authority nursery school,Nursery,44.1,Yes,42.1,Yes
100098,Greenwich,Pound Park Nursery School,SE7 8AF,541837,178429,E01001589,Local authority nursery school,Nursery,33.0,No,34.8,No
100099,Greenwich,Abbey Wood Nursery School,SE2 0SX,546762,178508,E01001574,Local authority nursery school,Nursery,31.4,No,31.8,No
100102,Greenwich,Robert Owen Nursery School,SE10 0EA,539393,178453,E01001662,Local authority nursery school,Nursery,38.3,No,38.6,No
100103,Greenwich,Newhaven Pupil Referral Unit,SE9 6HR,541731,175472,E01001625,Pupil referral unit,Not applicable,35.7,No,35.6,No
100113,Greenwich,Bannockburn Primary School,SE18 1HE,545529,178546,E01001673,Community school,Primary,38.1,No,36.5,No
100114,Greenwich,Morden Mount Primary School,SE13 7QP,538003,176437,E01001638,Community school,Primary,39.1,No,38.7,No
100115,Greenwich,Cherry Orchard Primary School,SE7 7DG,541222,177219,E01001595,Community school,Primary,35.5,No,36.3,No
100120,Greenwich,Ealdham Primary School,SE9 6BP,541517,175119,E01033726,Community school,Primary,37.4,No,35.4,No
100125,Greenwich,Fossdene Primary School,SE7 7NQ,540841,178110,E01001592,Community school,Primary,35.3,No,36.7,No
100126,Greenwich,Gallions Mount Primary School,SE18 1JR,545821,178268,E01001677,Community school,Primary,32.7,No,32.7,No
100127,Greenwich,Gordon Primary School,SE9 1QG,542832,175288,E01001604,Community school,Primary,32.9,No,33.5,No
100129,Greenwich,Haimo Primary School,SE9 6DY,541948,174911,E01001620,Community school,Primary,45.2,Yes,40.3,Yes
100131,Greenwich,Henwick Primary School,SE9 6NZ,542011,175689,E01001624,Community school,Primary,33.4,No,34.1,No
100134,Greenwich,Invicta Primary School,SE3 7HE,540412,177493,E01001581,Community school,Primary,47.2,Yes,43.6,Yes
100136,Greenwich,Kidbrooke Park Primary School,SE3 8HS,541246,176520,E01001645,Community school,Primary,34.3,No,35.2,No
100137,Greenwich,Meridian Primary School,SE10 9NY,538861,177987,E01001664,Community school,Primary,42.5,Yes,41.1,Yes
100140,Greenwich,Plumcroft Primary School,SE18 3HW,544151,177486,E01001681,Community school,Primary,31.5,No,32.6,No
100141,Greenwich,Sherington Primary School,SE7 7JP,540764,177627,E01001593,Community school,Primary,38.8,No,38.8,No
100142,Greenwich,Thorntree Primary School,SE7 8AE,541865,178397,E01001589,Community school,Primary,32.8,No,34.7,No
100146,Greenwich,Wyborne Primary School,SE9 2EH,543932,173264,E01001619,Community school,Primary,32.3,No,32.2,No
100149,Greenwich,Montbelle Primary School,SE9 3EY,543480,171884,E01001603,Community school,Primary,30.2,No,30.7,No
100150,Greenwich,Boxgrove Primary School,SE2 9JP,547069,179278,E01001578,Community school,Primary,30.7,No,31,No
100152,Greenwich,De Lucy Primary School,SE2 9PD,546656,179560,E01001576,Community school,Primary,30.3,No,31.3,No
100154,Greenwich,Wingfield Primary School,SE3 9GJ,540596,175520,E01033726,Community school,Primary,34.5,No,35.3,No
100155,Greenwich,Cardwell Primary School,SE18 5LP,542625,178829,E01001705,Community school,Primary,34.5,No,34.9,No
100158,Greenwich,Heronsgate Primary School,SE28 0EA,544682,179291,E01033744,Community school,Primary,32.7,No,33.6,No
100159,Greenwich,Linton Mead Primary School,SE28 8DT,546738,180895,E01001688,Community school,Primary,33.6,No,33.1,No
100162,Greenwich,Greenslade Primary School,SE18 2QQ,544981,177699,E01001683,Community school,Primary,32.7,No,33,No
100163,Greenwich,Mulgrave Primary School,SE18 5DL,543186,178646,E01001705,Community school,Primary,39.0,No,37.5,No
100164,Greenwich,Charlton Manor Primary School,SE7 7EF,541549,177353,E01001650,Community school,Primary,33.5,No,34.8,No
100165,Greenwich,Christ Church Church of England Primary School,SE10 0DZ,539398,178485,E01001662,Voluntary aided school,Primary,38.3,No,38.7,No
100166,Greenwich,"Christ Church Church of England Primary School, Shooters Hill",SE18 3RS,543236,176562,E01001682,Voluntary aided school,Primary,35.2,No,35.6,No
100167,Greenwich,Eltham Church of England Primary School,SE9 1TR,542989,174524,E01001609,Voluntary aided school,Primary,37.5,No,36.1,No
100168,Greenwich,Our Lady of Grace Catholic Primary School,SE7 7HR,540873,177706,E01001594,Voluntary aided school,Primary,35.6,No,36.8,No
100169,Greenwich,St Joseph's Catholic Primary School,SE10 9AN,539329,178289,E01001662,Voluntary aided school,Primary,41.8,Yes,40.8,Yes
100170,Greenwich,St Margaret's Church of England Primary School,SE18 7RL,544274,178095,E01001633,Voluntary aided school,Primary,31.9,No,32.9,No
100171,Greenwich,Saint Mary Magdalene Church of England All Through School,SE18 5PW,543194,178936,E01033737,Voluntary aided school,All through,40.7,Yes,38.4,No
100173,Greenwich,St Patrick's Catholic Primary School,SE18 7QG,544890,178606,E01001631,Voluntary aided school,Primary,34.2,No,34,No
100174,Greenwich,St Alfege with St Peter's Church of England Primary School,SE10 9RB,538127,177732,E01001640,Voluntary aided school,Primary,40.5,Yes,40.5,Yes
100175,Greenwich,St Peter's Catholic Primary School,SE18 7BN,543728,178491,E01001697,Voluntary aided school,Primary,34.3,No,34.4,No
100176,Greenwich,St Thomas More Catholic Primary School,SE9 6NS,542156,175625,E01001624,Voluntary aided school,Primary,33.5,No,34.1,No
100177,Greenwich,St Thomas A Becket Roman Catholic Primary School,SE2 9LY,546166,179075,E01001579,Voluntary aided school,Primary,29.7,No,31.1,No
100178,Greenwich,Holy Family Catholic Primary School,SE3 9YX,541151,175396,E01033726,Voluntary aided school,Primary,39.7,No,38.2,No
100179,Greenwich,Notre Dame Catholic Primary School,SE18 3SJ,543633,177821,E01001698,Voluntary aided school,Primary,33.2,No,34.2,No
100180,Greenwich,St Margaret Clitherow Catholic Primary School,SE28 8GB,546767,180139,E01001694,Voluntary aided school,Primary,30.2,No,31.2,No
100181,Greenwich,Bishop John Robinson Church of England Primary School,SE28 8LW,547142,180957,E01001688,Voluntary aided school,Primary,30.1,No,31,No
100182,Greenwich,Eltham Hill School,SE9 5EE,542250,174421,E01001655,Community school,Secondary,36.1,No,34.6,No
100183,Greenwich,Plumstead Manor School,SE18 1QF,544831,178057,E01001636,Community school,Secondary,32.3,No,32.7,No
100190,Greenwich,Thomas Tallis School,SE3 9PX,540856,175919,E01033726,Community school,Secondary,36.5,No,36.5,No
100193,Greenwich,St Ursula's Convent School,SE10 8HN,538590,177088,E01001642,Voluntary aided school,Secondary,35.7,No,36.8,No
100197,Greenwich,Hawksmoor School,SE28 8AS,546726,180495,E01001692,Foundation school,Primary,29.8,No,31,No
100198,Greenwich,The Pointer School,SE3 7TH,540209,177029,E01001580,Other independent school,Not applicable,43.2,Yes,40.9,Yes
100199,Greenwich,Blackheath Preparatory School,SE3 0NJ,540095,176757,E01001583,Other independent school,Not applicable,42.1,Yes,40,No
100200,Greenwich,Riverston School,SE12 8UF,540433,174828,E01001658,Other independent school,Not applicable,40.2,Yes,36.7,No
100201,Greenwich,St Olave's Prep School,SE9 3QS,543704,172762,E01001600,Other independent school,Not applicable,35.0,No,34.3,No
100202,Greenwich,Colfe's School,SE12 8AW,540572,174309,E01001659,Other independent school,Not applicable,37.2,No,34.1,No
100203,Lewisham,Heath House Preparatory School,SE3 0TG,539675,176150,E01003200,Other independent school,Not applicable,41.5,Yes,39.5,No
100204,Greenwich,King's Oak School,SE9 5LX,541778,174205,E01001661,Community special school,Not applicable,33.9,No,32.7,No
100212,Hackney,Wentworth Nursery School and Children's Centre,E9 5BY,535916,184524,E01001845,Local authority nursery school,Nursery,41.5,Yes,41.7,Yes
100213,Hackney,Comet Nursery School and Children's Centre,N1 5RF,533227,183661,E01001754,Local authority nursery school,Nursery,41.4,Yes,43,Yes
100218,Hackney,Berger Primary School,E9 6HB,535671,184827,E01001730,Community school,Primary,41.8,Yes,41.3,Yes
100221,Hackney,Colvestone Primary School,E8 2LG,533631,185118,E01001748,Community school,Primary,45.3,Yes,43.8,Yes
100223,Hackney,Daubeney Primary School,E5 0EG,536126,185583,E01001791,Community school,Primary,35.2,No,37.3,No
100224,Hackney,De Beauvoir Primary School,N1 4BS,533254,184727,E01001756,Community school,Primary,44.9,Yes,43.6,Yes
100225,Hackney,Gainsborough Primary School,E9 5ND,536980,184834,E01001849,Community school,Primary,37.5,No,39.5,No
100229,Hackney,Lauriston School,E9 7JS,535636,183779,E01001836,Community school,Primary,40.0,Yes,41.3,Yes
100230,Hackney,London Fields Primary School,E8 3RL,534642,183828,E01033712,Community school,Primary,41.2,Yes,42,Yes
100231,Hackney,Millfields Community School,E5 0SH,535218,185910,E01001793,Community school,Primary,36.8,No,38.2,No
100232,Hackney,Morningside Primary School,E9 6LL,535292,184869,E01001731,Community school,Primary,44.7,Yes,43.3,Yes
100234,Hackney,Orchard Primary School,E9 7BB,535394,184242,E01001840,Community school,Primary,45.0,Yes,44,Yes
100235,Hackney,Queensbridge Primary School,E8 4ET,533825,184027,E01001819,Community school,Primary,40.5,Yes,41.7,Yes
100236,Hackney,Randal Cremer Primary School,E2 8JG,533638,183358,E01001776,Community school,Primary,41.4,Yes,43,Yes
100239,Hackney,Princess May Primary School,N16 8DF,533380,185516,E01001835,Community school,Primary,37.5,No,39.1,No
100240,Hackney,Sebright School,E2 8QH,534243,183445,E01001775,Community school,Primary,39.3,No,41.3,Yes
100241,Hackney,Shacklewell Primary School,E8 2EA,533714,185576,E01001745,Community school,Primary,38.9,No,40.2,Yes
100242,Hackney,Southwold Primary School,E5 9NL,535010,186746,E01001798,Community school,Primary,35.4,No,36.9,No
100243,Hackney,Thomas Fairchild Community School,N1 7HA,532494,183307,E01001782,Community school,Primary,40.9,Yes,43.2,Yes
100244,Hackney,Tyssen Community Primary School,N16 6LR,534111,187372,E01001725,Community school,Primary,35.0,No,36.8,No
100245,Hackney,Shoreditch Park Primary School,N1 5JN,532859,183527,E01001752,Community school,Primary,39.5,No,42,Yes
100248,Hackney,Woodberry Down Community Primary School,N4 1SY,532393,187810,E01033701,Community school,Primary,41.6,Yes,40.1,Yes
100250,Hackney,Kingsmead Primary School,E9 5PP,536310,185685,E01001790,Community school,Primary,34.2,No,36.7,No
100251,Hackney,Sir Thomas Abney School,N16 5ED,533018,187474,E01001812,Community school,Primary,35.8,No,36.6,No
100252,Hackney,Grasmere Primary School,N16 9PD,532960,185754,E01001739,Community school,Primary,39.1,No,39.7,No
100253,Hackney,Jubilee Primary School,N16 6NR,534149,187016,E01001727,Community school,Primary,35.2,No,36.9,No
100254,Hackney,Nightingale Primary School,E5 8NA,534594,185895,E01033713,Community school,Primary,37.4,No,38.5,No
100255,Hackney,Baden-Powell School,E5 8DN,534738,186059,E01001770,Community school,Primary,41.3,Yes,40.6,Yes
100256,Hackney,Harrington Hill Primary School,E5 9EY,534968,187170,E01001828,Community school,Primary,33.8,No,35.9,No
100257,Hackney,Holmleigh Primary School,N16 5PU,533510,187449,E01001799,Community school,Primary,37.0,No,37.8,No
100258,Hackney,Grazebrook Primary School,N16 0QP,532963,186776,E01001806,Community school,Primary,36.1,No,37.5,No
100259,Hackney,Parkwood Primary School,N4 2HQ,531839,186844,E01001718,Community school,Primary,37.7,No,38.5,No
100260,Hackney,Benthal Primary School,N16 7AU,534224,186153,E01001764,Community school,Primary,38.2,No,39,No
100261,Hackney,Mandeville Primary School,E5 0BT,536002,186066,E01001787,Community school,Primary,34.2,No,36.5,No
100263,Hackney,Holy Trinity Church of England Primary School,E8 3DY,533726,184592,E01033700,Voluntary aided school,Primary,40.1,Yes,41.2,Yes
100264,Hackney,Our Lady and St Joseph Catholic Primary School,N1 4JB,533206,184640,E01001756,Voluntary aided school,Primary,40.2,Yes,41.2,Yes
100266,Hackney,St John the Baptist Voluntary Aided Church of England Primary School,N1 6JG,532997,183073,E01033709,Voluntary aided school,Primary,44.2,Yes,45.3,Yes
100267,Hackney,St Matthias Church of England Primary School,N16 8DD,533258,185524,E01001740,Voluntary aided school,Primary,37.1,No,38.9,No
100268,Hackney,St Monica's Roman Catholic Primary School,N1 6QN,533242,182802,E01001780,Voluntary aided school,Primary,43.3,Yes,44.5,Yes
100269,Hackney,St. Paul's With St. Michael's CofE Primary School,E8 4PB,534264,183839,E01001815,Voluntary aided school,Primary,37.6,No,40.1,Yes
100270,Hackney,St John of Jerusalem Church of England Primary School,E9 7JF,535320,184155,E01001840,Voluntary aided school,Primary,41.6,Yes,41.9,Yes
100271,Hackney,"St Mary's Church of England Primary School, Stoke Newington",N16 0JT,533081,186564,E01001806,Voluntary aided school,Primary,41.1,Yes,40.5,Yes
100274,Hackney,St Scholastica's Catholic Primary School,E5 8BS,534408,186210,E01001770,Voluntary aided school,Primary,38.3,No,38.9,No
100275,Hackney,Simon Marks Jewish Primary School,N16 6PD,533974,186970,E01001723,Voluntary aided school,Primary,35.7,No,37.4,No
100277,Hackney,Haggerston School,E2 8LS,533829,183266,E01001774,Community school,Secondary,39.7,No,42,Yes
100279,Hackney,Stoke Newington School and Sixth Form,N16 9EX,532879,186072,E01001737,Community school,Secondary,37.7,No,38.8,No
100282,Hackney,Our Lady's Catholic High School,N16 5AF,533481,187911,E01001809,Voluntary aided school,Secondary,39.2,No,39.5,No
100284,Hackney,The Urswick School - A Church of England Secondary School,E9 6NR,535046,184634,E01001731,Voluntary aided school,Secondary,46.8,Yes,44.4,Yes
100285,Hackney,Cardinal Pole Catholic School,E9 6LG,535492,184933,E01001730,Voluntary aided school,Secondary,47.9,Yes,45.1,Yes
100287,Hackney,Yesodey Hatorah School,N16 5AE,533530,187905,E01001809,Other independent school,Not applicable,40.0,Yes,39.9,No
100289,Hackney,Talmud Torah Yetev Lev,N16 6AX,534258,187015,E01001728,Other independent school,Not applicable,34.9,No,36.8,No
100291,Hackney,Bnois Jerusalem Girls School,N16 5DL,532994,187930,E01001807,Other independent school,Not applicable,39.5,No,39.6,No
100293,Hackney,Beis Rochel d'Satmar Girls' School,N16 5DL,533153,187929,E01001807,Other independent school,Not applicable,38.8,No,39.2,No
100294,Hackney,Talmud Torah Machzikei Hadass School,E5 9SN,534146,187743,E01001825,Other independent school,Not applicable,36.6,No,38,No
100295,Hackney,Beis Malka Girls' School,N16 6XD,533811,187086,E01001724,Other independent school,Not applicable,37.3,No,38.6,No
100296,Hackney,Talmud Torah Chaim Meirim Wiznitz School,N16 6XB,533841,187130,E01001724,Other independent school,Not applicable,36.6,No,38,No
100298,Hackney,Talmud Torah Bobov Primary School,N16 6UE,533958,187920,E01001814,Other independent school,Not applicable,35.3,No,37,No
100299,Hackney,T T T Y Y School,N16 5NH,533064,187207,E01001802,Other independent school,Not applicable,36.9,No,37.8,No
100300,Hackney,Tayyibah Girls' School,N16 6JJ,534460,187173,E01001728,Other independent school,Not applicable,38.3,No,39,No
100303,Tower Hamlets,River House Montessori School,E14 9XP,537643,179702,E01032771,Other independent school,Not applicable,35.6,No,37.9,No
100307,Hackney,Stormont House School,E5 8NP,534629,185541,E01033713,Community special school,Not applicable,38.0,No,39.1,No
100311,Hackney,The Garden School,N16 8BZ,533294,185654,E01001835,Community special school,Not applicable,36.7,No,38.6,No
100312,Hackney,Ickburgh School,E9 5RB,536188,185040,E01001847,Community special school,Not applicable,48.1,Yes,43.7,Yes
100315,Hammersmith and Fulham,Randolph Beresford Early Years Centre,W12 7PH,522759,180583,E01001961,Local authority nursery school,Nursery,39.4,No,39.1,No
100316,Hammersmith and Fulham,Vanessa Nursery School,W12 9JA,522645,179588,E01001862,Local authority nursery school,Nursery,41.4,Yes,41.2,Yes
100317,Hammersmith and Fulham,James Lee Nursery School,W14 9BH,524114,178545,E01001872,Local authority nursery school,Nursery,42.3,Yes,41.7,Yes
100318,Hammersmith and Fulham,Bayonne Nursery School,W6 8PF,524079,177674,E01001887,Local authority nursery school,Nursery,38.1,No,38.5,No
100321,Hammersmith and Fulham,Addison Primary School,W14 0DT,523706,179379,E01001851,Community school,Primary,39.8,No,40.1,Yes
100322,Hammersmith and Fulham,Avonmore Primary School,W14 8SH,524403,178848,E01001866,Community school,Primary,47.7,Yes,43.6,Yes
100324,Hammersmith and Fulham,Brackenbury Primary School,W6 0BA,522760,179365,E01001895,Community school,Primary,41.0,Yes,40.9,Yes
100326,Hammersmith and Fulham,Miles Coverdale Primary School,W12 8JJ,523026,179840,E01001941,Community school,Primary,39.2,No,39.4,No
100328,Hammersmith and Fulham,Flora Gardens Primary School,W6 0UD,522590,178797,E01001932,Community school,Primary,42.1,Yes,40.8,Yes
100331,Hammersmith and Fulham,Kenmont Primary School,NW10 6AL,522501,182898,E01001877,Community school,Primary,46.5,Yes,44.6,Yes
100334,Hammersmith and Fulham,Melcombe Primary School,W6 9ER,523607,177859,E01001890,Community school,Primary,47.0,Yes,42.1,Yes
100335,Hammersmith and Fulham,Old Oak Primary School,W12 0AS,521948,181361,E01001878,Community school,Primary,36.7,No,38.2,No
100338,Hammersmith and Fulham,Sir John Lillie Primary School,SW6 7LN,524416,177532,E01001879,Community school,Primary,40.9,Yes,40.2,Yes
100340,Hammersmith and Fulham,Wendell Park Primary School,W12 9LB,521631,179719,E01001865,Community school,Primary,36.6,No,37.6,No
100341,Hammersmith and Fulham,Wormholt Park Primary School,W12 0SR,522318,180664,E01001955,Community school,Primary,39.3,No,38.8,No
