urn,local_authority,school,postcode,easting,northing,lsoa,type,phase,no2_avg_2013,above_40_2013,no2_avg_2016,above_40_2016
131706,Hackney,Betty Layward Primary School,N16 9EX,532879,186072,E01001737,Community school,Primary,37.7,No,38.8,No
131723,Croydon,Thornton Heath Nursery School,CR7 8RS,532630,168142,E01001155,Local authority nursery school,Nursery,34.2,No,34.1,No
131724,Croydon,Selhurst Nursery School and Children's Centre,SE25 5PL,532985,167413,E01001113,Local authority nursery school,Nursery,34.3,No,34.4,No
131731,Haringey,Bruce Grove Primary School,N17 6UH,533636,190050,E01001979,Community school,Primary,36.0,No,36.2,No
131737,Tower Hamlets,Harry Gosling Primary School,E1 1NT,534299,181195,E01032766,Community school,Primary,45.5,Yes,45.7,Yes
131740,Islington,Rotherfield Primary School,N1 3EE,532543,183917,E01002797,Community school,Primary,41.1,Yes,42.5,Yes
131741,Islington,Pooles Park Primary School,N4 3NW,530937,186804,E01002736,Community school,Primary,36.4,No,38,No
131745,Tower Hamlets,Darul Hadis Latifiah,E2 0HW,535110,182631,E01004209,Other independent school,Not applicable,44.7,Yes,44.7,Yes
131747,Southwark,Harris Academy Bermondsey,SE16 3TZ,534017,178910,E01003977,Academy sponsor led,Secondary,40.9,Yes,41.9,Yes
131752,Hammersmith and Fulham,Ark Burlington Danes Academy,W12 0HR,522925,181489,E01001874,Academy sponsor led,All through,41.1,Yes,40.9,Yes
131753,Ealing,Ealing Alternative Provision,W13 0LR,516600,180700,E01001205,Pupil referral unit,Not applicable,43.8,Yes,40.8,Yes
131757,Haringey,Park View School,N15 3QR,532381,189320,E01002084,Community school,Secondary,38.9,No,38.3,No
131773,Islington,Canonbury Primary School,N1 2UT,531811,184603,E01002791,Community school,Primary,47.3,Yes,45.9,Yes
131775,Barking and Dagenham,Gascoigne Primary School,IG11 7DR,544442,183568,E01033588,Community school,Primary,34.5,No,34.7,No
131778,Kensington and Chelsea,Tabernacle School,W11 4RS,523982,180245,E01002873,Other independent school,Not applicable,44.4,Yes,43.2,Yes
131788,Ealing,Greek Primary School of London,W3 9JR,519880,180631,E01001197,Other independent school,Not applicable,36.1,No,37,No
131824,Lambeth,Hitherfield Primary School,SW16 2JQ,531122,172473,E01003152,Community school,Primary,36.0,No,36.4,No
131830,Barnet,Susi Earnshaw Theatre School,EN5 5SJ,524619,196472,E01000250,Other independent school,Not applicable,35.3,No,34.3,No
131841,Greenwich,Alexander McLeod Primary School,SE2 0QS,546803,178377,E01001571,Community school,Primary,30.1,No,31.1,No
131842,Islington,Hugh Myddelton Primary School,EC1R 1YJ,531473,182684,E01002723,Community school,Primary,50.7,Yes,49.2,Yes
131843,Southwark,Brunswick Park Primary School,SE5 7QH,532820,177188,E01003918,Community school,Primary,39.8,No,40.3,Yes
131844,Barking and Dagenham,Hunters Hall Primary School,RM10 8DE,549595,185391,E01000015,Community school,Primary,28.0,No,29.6,No
131845,Barking and Dagenham,Southwood Primary School,RM9 5LT,548106,185779,E01000078,Community school,Primary,31.2,No,31.9,No
131847,Redbridge,Christchurch Primary School,IG1 4LQ,544066,187093,E01003787,Community school,Primary,30.9,No,32.8,No
131871,Haringey,Muswell Hill Primary School,N10 3ST,528962,189695,E01001997,Community school,Primary,36.8,No,38,No
131874,Lambeth,Henry Fawcett Primary School,SE11 5BZ,531198,177886,E01003101,Community school,Primary,50.5,Yes,46.2,Yes
131879,Haringey,Risley Avenue Primary School,N17 7AB,533204,190768,E01002095,Community school,Primary,37.0,No,37.3,No
131897,Merton,Harris Academy Merton,CR4 1BP,529866,168628,E01003433,Academy sponsor led,Secondary,33.8,No,33.9,No
131899,Barnet,Kisharon College,NW4 1TP,523412,189671,E01000242,Miscellaneous,Not applicable,34.7,No,36.5,No
131911,Ealing,Leap Service -  the National Autistics Society,W3 8RR,519700,179954,E01001351,Miscellaneous,Not applicable,40.3,Yes,39.3,No
131916,Brent,Avigdor Hirsch Torah Temimah Primary School,NW2 6RJ,522571,185971,E01000503,Voluntary aided school,Primary,33.8,No,36.3,No
131924,Bromley,Livability Nash College,BR2 7AG,539695,165532,E01000768,Special post 16 institution,Not applicable,28.2,No,29,No
131926,Newham,St Antony's Catholic Primary School,E7 9PN,540527,184370,E01003572,Voluntary aided school,Primary,35.7,No,37.4,No
131930,Redbridge,South Park Primary School,IG3 9HF,545504,186420,E01003742,Community school,Primary,30.3,No,31.8,No
131936,Tower Hamlets,St Mary and St Michael Primary School,E1 0BD,535206,181217,E01004298,Voluntary aided school,Primary,44.5,Yes,44.4,Yes
131940,Hillingdon,Hillingdon Manor School,UB8 3HD,507624,181664,E01002549,Other independent special school,Not applicable,31.0,No,32.3,No
131948,Sutton,Orchard Hill College of Further Education,SM6 0NB,528908,163725,E01004178,Special post 16 institution,Not applicable,38.9,No,34.7,No
131970,Barnet,The Orion Primary School,NW7 2AL,521550,191400,E01000235,Community school,Primary,39.9,No,37.4,No
131978,Camden,Maria Montessori School,NW3 5NW,526875,185297,E01000897,Other independent school,Not applicable,38.6,No,39.4,No
131982,Ealing,Acorn House College,UB1 3HF,512969,180394,E01001215,Other independent school,Not applicable,42.6,Yes,41.2,Yes
132038,Hillingdon,West Middlesex College,UB8 2YG,504598,183333,E01002520,Miscellaneous,Not applicable,26.7,No,28.7,No
132058,Newham,Kingsford Community School,E6 5JG,542700,181463,E01003479,Community school,Secondary,33.3,No,35.5,No
132066,Greenwich,Greenwich Steiner School,SE3 7SE,540176,177619,E01001586,Other independent school,Not applicable,34.8,No,36.1,No
132077,Wandsworth,Victoria Drive Primary Pupil Referral Unit,SW19 6HR,524001,172992,E01004636,Pupil referral unit,Not applicable,33.7,No,34.4,No
132134,Redbridge,Bancrofts Preparatory School,IG8 0RF,540401,193151,E01003746,Other independent school,Not applicable,32.8,No,33.5,No
